iter	Passed	Remaining
0	3	360
1	7	386
2	14	475
3	16	404
4	19	367
5	21	335
6	22	303
7	25	292
8	27	275
9	28	257
10	30	244
11	31	230
12	32	217
13	33	205
14	34	196
15	35	186
16	36	178
17	37	170
18	38	163
19	39	158
20	41	154
21	42	149
22	43	145
23	44	140
24	45	135
25	45	130
26	46	126
27	47	121
28	47	117
29	48	113
30	49	109
31	50	106
32	50	103
33	51	100
34	52	97
35	52	94
36	53	91
37	54	89
38	55	86
39	56	84
40	57	82
41	57	79
42	58	77
43	59	76
44	60	73
45	61	71
46	61	69
47	62	67
48	63	65
49	63	63
50	64	61
51	64	59
52	65	58
53	66	56
54	66	54
55	67	52
56	67	51
57	68	49
58	71	49
59	72	48
60	72	46
61	73	45
62	74	43
63	75	42
64	75	40
65	76	39
66	77	37
67	77	36
68	78	35
69	79	33
70	79	32
71	80	31
72	81	29
73	81	28
74	82	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	88	18
83	89	17
84	89	15
85	90	14
86	91	13
87	91	12
88	92	11
89	93	10
90	93	9
91	94	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
