iter	Passed	Remaining
0	2	285
1	5	275
2	7	240
3	8	210
4	10	192
5	11	182
6	13	182
7	14	171
8	16	163
9	17	156
10	18	150
11	19	144
12	21	140
13	22	136
14	23	132
15	25	131
16	26	127
17	26	122
18	27	118
19	28	114
20	29	111
21	30	108
22	31	105
23	32	102
24	33	100
25	34	97
26	35	94
27	35	91
28	36	89
29	37	86
30	37	84
31	38	81
32	38	79
33	39	76
34	40	74
35	40	72
36	41	70
37	42	69
38	43	68
39	44	66
40	45	64
41	45	62
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	50	52
49	51	51
50	52	50
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	43
57	59	42
58	59	41
59	60	40
60	61	39
61	62	38
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	67	29
70	68	28
71	69	26
72	70	25
73	70	24
74	71	23
75	72	23
76	73	22
77	74	20
78	75	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
